,Consumption,Forecast D-1,Forecast D,Fuel oil,Coal,Gas,Nuclear,Wind,Solar,Hydraulic,Hydralic pumping,Bioenergies,Physical exchange,Fossil,Renewable
2014-11-30,40.4009635,39.98215,40.0557,0.2264265,0.9369065,2.2291695000000002,36.253175999999996,1.500763,0.2385735,4.866801,-0.718693,0.705834,-5.8358485,3.3925025,7.3119715
2014-12-31,49.1503095,48.82335,48.68365,0.2175475,1.2286705,2.7821965,41.605599,2.1184760000000002,0.1837775,5.6938455,-0.6331085,0.7350465,-4.7792255,4.2284145,8.7311455
2015-01-31,52.237406,51.7967,51.76085,0.254128,1.6168035,3.0668295,43.768181,2.2952705,0.24378450000000002,6.165881,-0.6517665,0.692602,-5.213679,4.937761,9.397538
2015-02-28,48.394519,48.0602,48.02935,0.2502445,1.7043155,3.3366935,37.4726675,1.907302,0.351304,6.2894,-0.4630355,0.6354735,-3.089659,5.2912535,9.1834795
2015-03-31,45.521898,45.083019,45.15927,0.236385,1.102427,2.6380305,36.9428865,2.0097895,0.526688,6.3882725,-0.622282,0.6971135,-4.396659,3.9768425,9.6218635
2015-04-30,36.681222,36.52835,36.4669,0.1920075,0.5481605,0.944049,31.157193499999998,1.453413,0.7683365,5.6859695,-0.532066,0.58459,-4.1197345,1.684217,8.492309
2015-05-31,33.732458,33.614065,33.6925,0.1752315,0.035075,0.484572,30.298378,1.5787515,0.8285665,6.4555865,-0.741104,0.637534,-6.01942,0.6948785000000001,9.5004385
2015-06-30,33.0512155,32.9536,32.97925,0.18033,0.0557235,0.44928,30.686938,1.254301,0.935304,5.610595,-0.6359585,0.5993935,-6.0845245,0.6853335,8.3995935
2015-07-31,34.6618545,34.75155,34.67875,0.1853205,0.2266825,0.851056,33.2431845,1.3975025,0.925905,4.0195525,-0.5278505,0.652602,-6.311457,1.263059,6.995562
2015-08-31,31.345627,31.4884,31.41445,0.1612775,0.1570735,0.431237,31.965888,1.12504,0.833087,3.4073185,-0.509955,0.665536,-6.8900334999999995,0.749588,6.0309815
2015-09-30,33.316608,33.0275,33.02635,0.175253,0.5965315,1.090392,30.614111,1.670436,0.7031395,3.4340015,-0.421421,0.6409955,-5.186184,1.8621765000000001,6.4485725
2015-10-31,38.919431,38.876025,38.89197,0.2365025,1.0045285,2.365441,34.413164,1.288287,0.50344,3.8699295,-0.4616575,0.6224945,-4.922424,3.606472,6.284151
2015-11-30,40.845937,40.43995,40.339285,0.3425815,0.7956195,3.4264715,35.6412905,2.541374,0.369374,3.546478,-0.5588150000000001,0.7259895,-5.984018,4.5646725,7.1832155
2015-12-31,44.4446335,44.07094,44.06145,0.264888,0.77195,3.00951,40.250465,2.572801,0.298841,3.648695,-0.765938,0.761989,-6.3674555,4.046348,7.282326
2016-01-31,49.871438,49.4643,49.3632,0.220221,0.7649515,3.73717,41.559217,2.844775,0.2686705,5.6058025,-0.7646775,0.773944,-5.138087,4.7223425,9.493192
2016-02-29,46.1766665,45.72555,45.6234,0.1616985,0.4379515,3.008523,37.293223,2.8976435,0.4019345,6.856696,-0.6173435,0.7210505,-4.984109,3.608173,10.8773245
2016-03-31,47.0547305,46.727375,46.7001,0.14594000000000001,0.774647,3.3562095,37.1989095,2.456271,0.6638235,6.526236,-0.5478885,0.7735155,-4.292389,4.2767965,10.419846
2016-04-30,38.8862585,38.57305,38.627555,0.1374255,0.48559,1.8053615,31.0352035,1.6656035,0.7818505,6.437784,-0.4077595,0.6873135,-3.7414375,2.428377,9.5725515
2016-05-31,34.538656,34.247855,34.295855,0.129845,0.166528,1.0867625,29.41039,1.538904,0.9143245,6.527667,-0.6285715000000001,0.709027,-5.3151165,1.3831355,9.6899225
2016-06-30,32.6500055,32.46915,32.46775,0.1232245,0.1623665,1.1972405,28.617635,1.069357,0.8933295,7.1750505,-0.549375,0.6468825,-6.6854735,1.4828315,9.7846195
2016-07-31,33.4791635,33.5989,33.5909,0.107191,0.1829205,1.556755,28.3178565,1.016117,1.048584,5.2967635,-0.4839665,0.743619,-4.306454,1.8468665,8.1050835
2016-08-31,31.8873865,32.12124,32.060795,0.097897,0.1348085,1.7151750000000001,27.094144,1.185495,1.044218,3.8650005,-0.5390375,0.7205175,-3.429511,1.9478805000000001,6.815231
2016-09-30,33.0351975,33.236850000000004,33.1644,0.105649,0.770148,3.107095,26.4622005,0.989524,0.8084215,3.3654384999999998,-0.489374,0.676549,-2.7601635,3.982892,5.839933
2016-10-31,38.3151815,38.1763,38.22995,0.127902,0.9565945,3.831492,28.960807,1.404524,0.716298,3.0590515,-0.602119,0.668392,-0.793212,4.9159885,5.8482655
2016-11-30,44.0416105,44.135,43.94105,0.2229185,1.1728575,5.1316305,31.1236505,2.3214230000000002,0.36169450000000003,4.215137,-0.5863045,0.7768155,-0.6977685,6.5274065000000006,7.67507
2016-12-31,50.384137,50.16725,50.30701,0.1426455,1.295437,5.8350745,36.6310105,1.5282555,0.3618,4.4289395,-0.535747,0.813739,-0.11646400000000001,7.273157,7.132734
2017-01-31,57.0815045,57.51155,57.08794,0.747493,1.700982,5.7027065,40.477957,2.043819,0.35704,5.1436405,-0.565569,0.8280405,0.645968,8.1511815,8.372539999999999
2017-02-28,43.609337,43.32269,43.350435,0.3500895,0.9741705,4.7006475,33.67062,2.537873,0.42167899999999997,4.445528,-0.6390585,0.734894,-3.586663,6.0249075,8.139974
2017-03-31,42.529228,42.2542,42.1984,0.3753365,0.3923065,4.256945,34.2940185,2.6615645,0.6896295,6.179474,-0.6720775,0.787844,-6.434854,5.0245880000000005,10.318512
2017-04-30,36.428574,36.30095,36.4039,0.215361,0.6454894999999999,2.456953,31.7336625,1.4701905,1.028795,4.128942,-0.5825595,0.74357,-5.410246,3.3178035,7.3714975
2017-05-31,34.827622,34.693605,34.714705,0.157201,0.520406,1.6137535,30.113250999999998,1.502515,1.0724755,5.6969965,-0.6602375,0.741478,-5.9286265,2.2913605,9.013465
2017-06-30,33.1561825,33.4019,33.345725,0.123095,0.3539065,1.4546215,26.864138,1.474439,1.1129054999999999,5.075979,-0.5568425,0.755589,-3.500208,1.931623,8.4189125
